,,,,,,,,,,,,,,,Regressed based on evaluation data,,,,Regressed based on evaluation mixed vector,,,Loss,,
,rep_dt,draft_mean,trim,rpm,w_dir_rel,swell_dir_rel,amb_temp,cpress,w_force,speed_stw_calc,pwr,app_slip,main_fuel_per_dst,speed_stw_calc_pred,pwr_pred,app_slip_pred,main_fuel_per_dst_pred,pwr_pred_x,speed_stw_calc_second_pred,app_slip_second_pred,main_fuel_per_dst_second_pred,speed_stw_calc_loss,app_slip_loss,main_fuel_per_dst_loss
50,10-10-2015 12:00,4.96,0.92,112.34,-0.391304348,113.1014493,26,1012,3.985507246,14.39393939,5040,7.97,0.065263158,12.44966775,5268.470898,11.60116056,0.073198796,5268.470898,12.46773648,11.60026617,0.072554962,0.145134215,-0.007709451,-0.879570407
51,20-10-2015 12:00,9.505,0.31,113.55,-0.391304348,113.1014493,8,1025,3.985507246,13.14285714,4947.1,7.17,0.061594203,11.91353659,5338.076156,14.52567817,0.075030222,5338.076156,11.92481073,14.50436826,0.074448926,0.094633039,-0.146705101,-0.774748547
52,22-10-2015 12:00,9.41,0.14,111.3,-0.391304348,113.1014493,9.64,1017,3.985507246,12.65957447,4655.9,8.77,0.070588235,11.78805155,5152.790992,13.91186348,0.072950811,5152.790992,11.80176056,13.8906795,0.072454464,0.11629579,-0.152272773,-0.68038589
53,23-10-2015 12:00,9.49,0.3,114.25,-0.391304348,113.1014493,22,1019,3.985507246,13.19642857,4932.7,7.36,0.070365359,12.41971053,5265.286386,12.76265639,0.074633637,5265.286386,12.42322981,12.73923328,0.074245441,0.028336202,-0.183528486,-0.520136192
54,24-10-2015 12:00,9.555,0.33,114.65,-0.391304348,113.1014493,24,1020,3.985507246,13.10833333,4926.8,8.3,0.071201526,12.51330077,5272.460908,12.56034058,0.074785095,5272.460908,12.51495993,12.53631143,0.074420137,0.013259196,-0.191309708,-0.488009497
55,25-10-2015 12:00,9.555,0.33,114.57,-0.391304348,113.1014493,26,1020,3.985507246,13,4999.1,8.96,0.073717949,12.5697616,5245.652706,12.27190272,0.074531349,5245.652706,12.57041438,12.24758205,0.074198732,0.00519331,-0.198181781,-0.4462779
56,26-10-2015 12:00,9.555,0.33,114.43,-0.391304348,113.1014493,27,1020,3.985507246,12.85833333,5040.3,9.87,0.075178224,12.58926048,5223.318307,12.10787638,0.074297547,5223.318307,12.58947904,12.08341573,0.073983749,0.001736077,-0.202022652,-0.422353331
57,27-10-2015 12:00,9.555,0.33,114.67,-0.391304348,113.1014493,26,1023,3.985507246,12.908,5034.8,9.71,0.074682368,12.57874148,5254.669762,12.28990679,0.074638309,5254.669762,12.57931787,12.26561317,0.074302635,0.004582252,-0.1976713,-0.449733718
58,28-10-2015 12:00,9.555,0.33,114.42,-0.391304348,113.1014493,27,1024,3.985507246,12.73333333,5051.5,10.74,0.075589005,12.58871846,5222.540953,12.10349118,0.074286898,5222.540953,12.58893401,12.07907489,0.073972819,0.001712171,-0.201729281,-0.422790874
59,29-10-2015 12:00,9.555,0.33,113.19,-0.391304348,113.1014493,22,1024,3.985507246,12.49166667,4984.4,8.63,0.071714476,12.32270548,5161.858192,12.54133981,0.073392194,5161.858192,12.3264231,12.51773506,0.07303513,0.030168869,-0.188215561,-0.486515756
60,30-10-2015 12:00,9.555,0.33,113.15,-0.391304348,113.1014493,19,1022,3.985507246,12.8,4968.7,9.26,0.0734375,12.22387822,5187.724179,12.94350697,0.073601708,5187.724179,12.2292207,12.92032686,0.07320064,0.043705279,-0.179086744,-0.544915902
61,31-10-2015 12:00,9.555,0.33,112.18,-0.391304348,113.1014493,16,1023,3.985507246,12.83333333,4892.4,8.24,0.046428571,12.04409606,5130.625149,13.15966183,0.072816824,5130.625149,12.0516973,13.13699302,0.072395972,0.063111741,-0.172259881,-0.577959779
62,01-11-2015 12:00,9.555,0.33,113.39,-0.391304348,113.1014493,15,1022,3.985507246,12.375,5154.3,12.46,0,12.11794178,5248.484822,13.53622861,0.074194743,5248.484822,12.12524184,13.51362693,0.073726875,0.060241783,-0.166971794,-0.630595502
63,05-11-2015 12:00,5.23,0.06,93.07,-0.391304348,113.1014493,10,998,3.985507246,11.23076923,3104.8,3.21,0,10.33573507,3815.610071,10.23813273,0.055882956,3815.610071,10.38105686,10.23848249,0.055563836,0.438496042,0.003416233,-0.571051365
64,06-11-2015 12:00,5.23,0.06,93.25,-0.391304348,113.1014493,5,998,3.985507246,7.625,3174.7,34.41,0,10.19283669,3880.844516,10.95526589,0.056495937,3880.844516,10.24068821,10.95634562,0.056096493,0.469462269,0.00985578,-0.707031987
65,07-11-2015 12:00,5.23,0.06,96.87,-0.391304348,113.1014493,5,998,3.985507246,6.5,3161.3,46,0,10.50891814,4204.121316,11.67229425,0.060366729,4204.121316,10.55427328,11.67316457,0.059871425,0.431587161,0.007456296,-0.820491686
66,08-11-2015 12:00,5.15,0.7,86.32,-0.391304348,113.1014493,2,1010,3.985507246,10.70833333,2389.5,0.5,0,9.432475029,3200.954603,9.78872608,0.047826378,3200.954603,9.482084598,9.79173301,0.047532219,0.525944351,0.030718295,-0.615054781
67,09-11-2015 12:00,5.15,0.7,81.49,-0.391304348,113.1014493,2,1010,3.985507246,9.086956522,1861.7,10.56,0,9.010742043,2769.621194,8.832028022,0.042661757,2769.621194,9.063682419,8.835314353,0.0424955,0.587525155,0.037209242,-0.389710366
68,10-11-2015 12:00,5.055,0.85,83.1,-0.391304348,113.1014493,0,1013,3.985507246,11.08695652,1999.4,-7,0,9.07602324,2917.013603,9.374978109,0.044238433,2917.013603,9.128171904,9.379102727,0.043985808,0.574576141,0.043996028,-0.571053385
