,Unnamed: 0,cpress,w_force,speed_ship_sog,rpm,pwr,pred,square_diff
83,83,1010,4,11.5,63.8,6475,6768.144849357771,85933.90270499019
84,84,1011,3,11.5,65.7,6475,6881.780998463148,165470.78071067532
85,85,1012,4,11.5,64.7,6475,6925.735607236797,203162.58763112375
86,86,1026,6,10.5,78.6,12800,10367.653313424134,5916310.403696592
87,87,1020,6,11.5,75.5,10875,9581.499320595296,1673144.0076204308
88,88,1014,5,11.5,76.7,11575,9674.593485399535,3611544.9207358873
89,89,1014,4,11.5,68.8,9500,7736.600631838392,3109577.33163276
90,90,1013,3,11.5,69.2,8550,7575.443688818753,949760.0036631997
91,91,1012,3,11.5,61.0,6050,5936.609822513055,12857.332350520797
92,92,1018,3,11.5,61.7,6125,6012.00411163121,12768.070788251953
93,93,1024,4,11.5,60.8,5675,6032.741886596776,127979.2574258203
94,94,1014,3,11.5,66.1,7000,6928.127056613098,5165.719991096831
95,95,1016,3,11.5,71.9,8400,8101.31125223928,89214.96803886683
96,96,1016,3,11.5,65.6,6475,6804.370550101555,108484.95927420077
97,97,1018,4,11.5,65.4,8575,6997.138715100297,2489646.234385341
98,98,1016,5,11.5,71.2,8925,8467.510094509751,209297.0136254769
99,99,1014,5,11.5,65.0,7875,7221.077088480188,427615.1742105482
100,100,1016,3,11.5,65.3,6650,6744.147321756981,8863.718194012508
101,101,1014,3,11.5,64.7,6475,6646.358771851733,29363.828690534232
102,102,1016,3,11.5,63.8,6300,6445.129853097151,21062.674260000564
103,103,1014,3,11.5,65.2,6650,6746.639289892261,9339.152350880524
104,104,1015,3,11.5,64.93,6650,6681.237676996955,975.792464166097
105,105,1015,3,11.5,63.84,6125,6463.9097772912255,114859.83714358807
106,106,1015,3,11.5,64.93,6825,6681.237676996955,20667.605515231815
107,107,1015,3,11.5,64.93,6825,6681.237676996955,20667.605515231815
108,108,1015,3,11.5,62.8,6150,6258.277547867091,11724.027372110186
109,109,1013,2,11.5,60.77,5750,5626.532217734752,15244.293257498784
110,110,1014,2,11.5,64.24,6300,6299.519917268077,0.23047942949081981
111,111,1013,2,11.5,63.22,6300,6107.344143468057,37116.27905605655
112,112,1013,3,11.5,64.7,6300,6657.520706689106,127821.05571147791
113,113,1013,3,11.5,63.3,6300,6378.398109202881,6146.263526586813
114,114,1011,3,11.5,63.4,6300,6419.872414856682,14369.39584357239
115,115,1015,2,11.5,63.96,6475,6233.069067198107,58530.57624639387
116,116,1015,2,11.5,64.93,6650,6426.577750632565,49917.50151240437
117,117,1015,5,11.5,64.79,7000,7167.307238132406,27991.711931493737
118,118,1016,6,11.5,64.79,7175,7414.819728339975,57513.50210105939
119,119,1031,4,14.5,80.0,6290,9263.0187646335,8838840.574862901
120,120,1028,4,11.5,60.4,6290,5916.957540351974,139160.6767002492
121,121,1014,4,11.5,64.93,6300,6948.943996084254,421128.31005379994
122,122,1013,3,11.5,63.77,6650,6471.761583875816,31768.932982457907
123,123,1015,4,11.5,62.2,6075,6396.704325523281,103493.67306038922
124,124,1015,4,11.5,65.4,6850,7031.758450261744,33036.134241550775
125,125,1014,3,11.5,64.1,6525,6526.537226649613,2.3630657722814257
126,126,1013,4,11.5,66.5,7350,7277.630814026749,5237.299078430953
127,127,1013,4,11.5,64.2,6975,6814.2567634387215,25838.388100195152
128,128,1014,4,11.5,65.7,7300,7103.801211872563,38493.96446267499
129,129,1011,3,11.5,64.0,7100,6539.569481258997,314082.3663363094
130,130,1011,3,11.5,65.4,7275,6821.06114484902,206060.4842157825
131,131,1010,3,11.5,67.3,7850,7220.041779370137,396847.35973914294
132,132,1009,3,11.5,68.3,8625,7438.656332240104,1407411.2980340016
133,133,1008,3,11.5,65.7,7975,6916.519195335555,1120381.6138430906
134,134,1018,5,11.5,60.8,6525,6350.403218037668,30484.036271602097
135,135,1009,6,11.5,63.3,6525,7199.964290851276,455576.79392436595
136,136,1012,3,11.5,62.6,6450,6250.558200612178,39777.031343052375
137,137,1026,4,11.5,60.5,6857,5955.628377391012,812470.8020447603
138,138,1020,5,11.5,60.8,5625,6329.606846353123,496470.80792769324
