,cpress,w_force,draft_mean,rpm,speed_sog,pwr,t_2
53,1018.0,3,8.93,65.49,11.291666666666666,7383.0,1.043360031875511
54,1018.0,4,8.93,64.57,11.291666666666666,7209.0,1.0452124912184555
55,1018.0,2,8.155000000000001,64.0,11.75,6300.0,1.7249183320712518
56,1018.0,3,8.155000000000001,65.5,11.833333333333334,6650.0,1.0528370718962574
57,1018.0,3,8.155000000000001,64.0,11.666666666666666,6475.0,1.1516504702451404
58,1017.0,3,8.155000000000001,65.3,11.958333333333334,6475.0,1.1370200925554512
59,1018.0,2,8.155000000000001,63.9,11.958333333333334,6475.0,1.859535153579273
60,1020.0,3,8.155000000000001,63.8,11.291666666666666,6300.0,1.3608839639713657
61,1020.0,5,8.155000000000001,63.7,10.75,6300.0,2.2883776146100936
62,1020.0,2,8.1,65.1,11.375,6475.0,1.943586693219082
63,1018.0,3,8.1,63.8,10.625,6300.0,2.0605891294854866
64,1018.0,5,8.1,65.8,11.083333333333334,6650.0,1.9367918071989318
65,1019.0,4,8.1,63.9,9.666666666666666,6475.0,3.647745140501349
66,1019.0,3,8.1,65.4,11.416666666666666,6650.0,1.2143361296721766
67,1022.0,3,8.06,64.86,11.428571428571429,7135.0,1.7468541993213056
68,1024.0,3,8.25,65.03,11.333333333333334,7259.0,2.245394800683497
69,1024.0,4,8.25,64.01,11.208333333333334,6912.0,2.4201288251491277
70,1024.0,3,8.25,64.81,11.291666666666666,6912.0,2.250608208004791
71,1017.0,4,8.25,64.8,10.625,6986.0,2.087597806106719
72,1018.0,3,8.08,64.2,12.545454545454545,6300.0,2.3577600943636345
73,1018.0,3,8.08,65.4,13.0,6475.0,2.879278464385371
74,1019.0,4,8.08,64.1,11.375,6650.0,1.3028963400103177
75,1019.0,4,8.08,64.1,10.791666666666666,6650.0,1.7388282118961065
76,1021.0,2,7.995000000000001,71.1,13.0,8050.0,2.7624876053443113
77,1015.0,5,7.995000000000001,73.2,13.125,9100.0,2.349572001235831
78,1019.0,6,7.995000000000001,73.0,12.826086956521738,8925.0,2.9514135861218684
79,1022.0,5,7.995000000000001,72.9,12.875,9100.0,2.8436027537498414
80,1021.0,5,7.995000000000001,73.2,12.333333333333334,8925.0,2.472626101641134
81,1016.0,5,7.995000000000001,74.7,12.5,9625.0,2.4095606204296525
82,1014.0,5,7.995000000000001,76.5,12.333333333333334,11025.0,3.216668089490073
83,1014.0,4,7.995000000000001,78.4,12.833333333333334,11200.0,3.4183912034912076
84,1014.0,3,7.995000000000001,70.3,13.083333333333334,8750.0,2.16918447437842
85,1013.0,3,7.995000000000001,70.4,11.956521739130435,8750.0,2.4142729620530354
86,1011.0,2,7.935,63.8,11.625,6081.0,2.7627577583875387
87,1012.0,2,7.935,64.2,11.875,6351.0,2.475679539035589
88,1017.0,6,7.995000000000001,64.1,11.869565217391305,6134.0,3.0624739307131055
89,1020.0,6,7.995000000000001,65.2,11.75,6329.0,3.046709808398626
90,1018.0,4,7.995000000000001,65.5,11.541666666666666,6284.0,1.0684533729414143
91,1014.0,4,7.995000000000001,65.2,11.041666666666666,6419.0,1.9703010319972547
92,1014.0,4,7.995000000000001,63.9,11.416666666666666,6104.0,1.5469960965494611
93,1011.0,5,7.995000000000001,63.9,11.25,6126.0,2.646894086536218
94,1011.0,4,7.995000000000001,64.4,11.833333333333334,6261.0,2.1976259240702465
95,1011.0,3,7.995000000000001,64.1,11.958333333333334,6081.0,2.284463574846316
96,1021.0,3,7.83,65.63,11.458333333333334,7358.0,1.5811543487344895
97,1019.0,3,7.790000000000001,64.2,11.411764705882353,6300.0,1.2489744576782478
98,1019.0,3,7.790000000000001,65.3,11.708333333333334,6475.0,1.1826471536910255
