,plsscore1,plsscore2,pwr,pred_pwr,diff,square_diff
101,-0.8879421755148792,0.51422471573983,7086,6982.005837704723,-103.99416229527742,10814.785791496499
102,-0.8199663618823313,0.5400372086047448,7358,7071.997394702366,-286.00260529763364,81797.49023703401
103,-0.871289033023607,0.5107224078621028,7333,7000.181157964053,-332.81884203594655,110768.38161414834
104,-0.9514807066818521,0.46491803170172397,7408,6887.968288060438,-520.0317119395622,270432.98142279184
105,-0.9049695359600712,0.49148456987474304,7358,6953.051752604533,-404.94824739546675,163983.08306866014
106,-0.7668594540039355,0.6618221252308937,7408,7182.341343892373,-225.6586561076274,50921.82907630044
107,-0.8460621019486388,0.629597019703525,7259,7076.639985108221,-182.36001489177943,33255.175031330014
108,-0.4495631646262356,0.5122798449671355,7333,7496.012739956934,163.01273995693373,26573.1533882669
109,-0.6325805838309888,0.3162918389611727,7333,7203.88394152307,-129.11605847693045,16670.956556618123
110,-0.44332823399753163,0.42439016669966634,7309,7468.706314495601,159.70631449560096,25506.1068897678
111,-0.6373920842504837,0.3135435763915497,7185,7197.151169328852,12.15116932885212,147.65091605843648
112,-0.5227112852061894,0.3006110328119991,7234,7326.72150065783,92.72150065782989,8597.276684239949
113,-0.6502227520358026,0.3062148762058893,7185,7179.197110144274,-5.80288985572588,33.67353067768632
114,-0.4470022488093882,0.8879142055428053,7358,7647.017109287051,289.0171092870514,83530.88946064343
115,-0.8117566288937282,-1.2482755776865098,7135,6377.0557126579015,-757.9442873420985,574479.5427145216
116,-0.8917868476718822,-1.634566782502183,7135,6130.883127353958,-1004.1168726460419,1008250.6939324675
