,cpress,w_force,draft_mean,rpm,speed_sog,pwr,pred,lin_pred,diff,square,mahalanobi,f_critical
64,1020.0,6,7.995000000000001,65.2,11.75,6329.0,6982.422405547791,6982.4735255455125,653.4224055477907,426960.8400718615,2.3344365054725515,3.0460182429571776
65,1018.0,4,18.39,73.8,11.76923076923077,8925.0,9291.554124488353,9291.77339982974,366.5541244883534,134361.9261794233,2.9580189700406634,3.859680794330863
66,1017.0,7,7.995000000000001,65.0,11.791666666666666,6464.0,6764.295690882442,6764.327491555137,300.2956908824417,90177.50196256298,2.915480241289865,3.804175432114592
67,1011.0,4,7.995000000000001,64.4,11.833333333333334,6261.0,6283.5403423710595,6283.333550029352,22.540342371059523,508.06703420458126,1.7790767790531627,2.321374049760441
68,1017.0,6,7.995000000000001,64.1,11.869565217391305,6134.0,6620.705957809868,6620.697043001269,486.70595780986787,236882.6893676209,2.4909209797840033,3.2502022344150037
69,1013.0,3,9.085,64.9,11.875,6650.0,6436.060177787267,6435.890710398366,-213.9398222127329,45770.24752841576,1.249332684336477,1.6301536319751981
70,1012.0,2,7.935,64.2,11.875,6351.0,6251.841345893008,6251.540898563149,-99.15865410699189,9832.43868431006,1.744255644970278,2.275938755457821
71,1026.0,3,8.25,64.22,11.916666666666666,7135.0,7246.2307377157285,7246.28414489051,111.23073771572854,12372.277012785195,2.685877187784406,3.5045848936798234
72,1018.0,2,8.93,64.29,11.916666666666666,7135.0,6632.745952857268,6632.632066412984,-502.2540471427319,252259.12787125356,1.3400154403425473,1.7484782591255135
73,1013.0,3,9.085,65.4,11.958333333333334,7000.0,6501.36580558639,6501.196554877666,-498.6341944136102,248636.05983851,1.2481221578673383,1.6285741134490206
74,1017.0,3,8.155000000000001,65.3,11.958333333333334,6475.0,6725.856830030062,6725.75672584664,250.85683003006216,62929.14917273149,0.932921582949175,1.2172942610561346
75,1018.0,2,8.155000000000001,63.9,11.958333333333334,6475.0,6559.7795676526775,6559.633077706706,84.77956765267754,7187.575091374928,1.441194636199586,1.8804988455350335
76,1013.0,5,9.085,65.3,12.166666666666666,6475.0,6554.8695343164645,6554.766042538476,79.86953431646452,6379.142511928904,2.1622749672478614,2.82137851301009
77,1021.0,5,7.995000000000001,73.2,12.333333333333334,8925.0,9294.176015607605,9294.422999949493,369.1760156076052,136290.93049990677,3.0264545470534014,3.9489768688051194
78,1018.0,2,8.93,65.09,12.375,7309.0,6793.60394548414,6793.465884099121,-515.3960545158598,265633.0930105151,1.6225084397036886,2.1170806295667446
79,1016.0,5,7.995000000000001,74.7,12.5,9625.0,9135.844589281322,9136.050609388127,-489.15541071867847,239273.01583535902,3.549049304897194,4.630868692521161
80,1018.0,3,8.08,64.2,12.545454545454545,6300.0,6667.719618651062,6667.5647327506595,367.71961865106186,135217.71794088237,2.0556328567647175,2.682229809141892
81,1018.0,0,8.08,65.3,12.875,6475.0,6785.978378310932,6785.66642705312,310.9783783109324,96707.55177689738,2.605184229436667,3.3992951491829424
82,1022.0,5,7.995000000000001,72.9,12.875,9100.0,9485.588002446479,9485.850057760488,385.58800244647864,148678.10763066562,2.9859873701286106,3.896174507779268
83,1018.0,3,8.08,65.4,13.0,6475.0,6911.073750976419,6910.907064168554,436.07375097641943,190160.31629064426,2.4483529684003558,3.194658663648768
84,1021.0,2,7.995000000000001,71.1,13.0,8050.0,8665.564677847999,8665.660091929505,615.5646778479986,378919.8726141103,2.4109476429304917,3.145851466066886
85,1014.0,3,7.995000000000001,70.3,13.083333333333334,8750.0,7613.162301591968,7613.036183874364,-1136.8376984080323,1292399.9525216722,2.1111486400295143,2.7546678849688453
86,1015.0,5,7.995000000000001,73.2,13.125,9100.0,8645.62442208665,8645.726835089754,-454.37557791334984,206457.16580409065,3.0190847324065015,3.9393605910399954
87,1018.0,0,8.08,65.3,13.125,6475.0,6808.418094590588,6808.076551622399,333.4180945905882,111167.62580041843,2.8244966288968243,3.68545824168784
