,Unnamed: 0,cpress,w_force,speed_ship_sog,rpm,pwr,pred,square_diff
108,108,1015,3,11.5,62.8,6150,6279.550177792814,16783.248566149687
109,109,1013,2,11.5,60.77,5750,5645.785079404619,10860.749674701576
110,110,1014,2,11.5,64.24,6300,6302.134753055556,4.557170608205029
111,111,1013,2,11.5,63.22,6300,6119.349396433016,32634.640569115465
112,112,1013,3,11.5,64.7,6300,6675.548202952587,141036.4527409178
113,113,1013,3,11.5,63.3,6300,6404.940021793502,11012.408174020618
114,114,1011,3,11.5,63.4,6300,6453.01324260588,23413.052412765857
115,115,1015,2,11.5,63.96,6475,6233.64108431609,58254.12618011268
116,116,1015,2,11.5,64.93,6650,6421.133895547743,52379.69376715136
117,117,1015,5,11.5,64.79,7000,7204.454979600306,41801.83868336142
118,118,1016,6,11.5,64.79,7175,7460.210247815478,81344.8854589666
119,119,1031,4,14.5,80.0,6290,9084.44372750201,7808915.746175328
120,120,1028,4,11.5,60.4,6290,5898.941316786326,152926.89371681274
121,121,1014,4,11.5,64.93,6300,6975.760529501041,456652.293231527
122,122,1013,3,11.5,63.77,6650,6495.787054039767,23781.632701733713
123,123,1015,4,11.5,62.2,6075,6433.702543733174,128667.51488064963
124,124,1015,4,11.5,65.4,6850,7052.235529239654,40899.20928684302
125,125,1014,3,11.5,64.1,6525,6545.201235662471,408.0899222906875
126,126,1013,4,11.5,66.5,7350,7293.600308022806,3180.925255122404
127,127,1013,4,11.5,64.2,6975,6849.0297246900245,15868.510261671017
128,128,1014,4,11.5,65.7,7300,7124.595029138536,30766.903802910994
129,129,1011,3,11.5,64.0,7100,6568.988177388345,281973.5557533514
130,130,1011,3,11.5,65.4,7275,6839.596358547431,189576.33099015726
131,131,1010,3,11.5,67.3,7850,7221.222351199552,395361.33163101994
132,132,1009,3,11.5,68.3,8625,7428.885941677977,1430688.84051558
133,133,1008,3,11.5,65.7,7975,6940.699923461614,1069776.6483273108
134,134,1018,5,11.5,60.8,6525,6390.105565773962,18196.50838516299
135,135,1009,6,11.5,63.3,6525,7272.810053992574,559219.8768523758
136,136,1012,3,11.5,62.6,6450,6284.00796372161,27553.35610784621
137,137,1026,4,11.5,60.5,6857,5947.014537598704,828073.5417817004
138,138,1020,5,11.5,60.8,5625,6361.361500758661,542228.2597995481
